PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,,PL Bait Containers & Lids,77,2304,PL Bait Containers & Lids,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Crates,78,2318,PL Crates,,,Plastics,Fishing,,Non,,Plastic Illegal Dumping (o/s targets),,,
,,,,PL Commercial Traps,79,2305,PL Commercial Traps,,,Plastics,Fishing,,Non,,Plastic Illegal Dumping (o/s targets),,,
,,,,PL Glow Sticks,80,2306,PL Glow Sticks,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Floats,81,2307,PL Floats,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Comm. Fishing Remnants,82,2308,PL Comm. Fishing Remnants,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Recreational Lures & Floats,83,2310,PL Recreational Lures & Floats,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Squid Jigs,84,2311,PL Squid Jigs,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Aquaculture Items,85,2312,PL Aquaculture Items,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Fishing Line (count of pieces),248,2313,PL Fishing Line (count of pieces),,,Plastics,Fishing,,Non,,Plastic Non-refined (o/s targets),,,
,,,,PL Nets (count of pieces >1m),249,2314,PL Nets (count of pieces >1m),,,Plastics,Fishing,,Non,,Plastic Non-refined (o/s targets),,,
,,,,PL Commercial Line (count of pieces),251,2317,PL Commercial Line (count of pieces),,,Plastics,Fishing,,Non,,Plastic Non-refined (o/s targets),,,
,,,NEW @ S?,PL SU Fishing Lures,302,2309,PL SU Fishing Lures,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Hard Fragments Size 1,94,0,PL Hard Fragments (ITEMS SMALLER THAN IN ALM SURVEY),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Hard Fragments Size 2,95,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 1,106,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 2,107,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Hard Fragments Size 3,96,78,PL Hard Fragments (Small),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Hard Fragments Size 4,97,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 3,108,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 4,109,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Hard Fragments Size 5,98,79,PL Hard Fragments (Medium),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 5,110,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Hard Fragments Size 6,99,80,PL Hard Fragments (Large),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Burnt Pieces Size 6,111,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 1,100,0,PL Film Pieces (ITEMS SMALLER THAN IN ALM SURVEY),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 2,101,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 3,102,81,PL Film Pieces (Small),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 4,103,,,,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 5,104,82,PL Film Pieces (Medium),,,Plastics,Fragments,,Non,,Fragments,,,
,,,,PL Film Pieces Size 6,105,83,PL Film Pieces (Large),,,Plastics,Fragments,,Non,,Fragments,,,
,,PL Syringe (medical),127,PL Syringes,12701,41,PL Syringes,,,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,
,,PL Syringe (veterinary),128,,,,,,,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,
,,,,H PL OH&S,118,,,,,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,
,,,,PL SU Face Masks,262,230,PL SU Face Masks,,,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,
,,,,PL Gloves,263,4724,PL Gloves,47,PL Other,Plastics,"Personal effects, care and hygiene",,Non,,Plastic Refined,,,
,,,,PL Other OH&S Items,264,4725,PL Other OH&S Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL COVID Tests & Packaging,268,4722,PL COVID Tests & Packaging,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Drums/Buckets,39,4714,PL Drums/Buckets,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Sheeting,69,4715,PL Sheeting,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Parking Tickets,119,4726,PL Parking Tickets,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Pipe/PVC,120,4727,PL Pipe/PVC,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Electrical Items,121,229,PL Electrical Items,,,Plastics,Miscellaneous other material ,,Non,,Plastic Refined,,,
,,,,PL Tubes/Hoses,123,4729,PL Tubes/Hoses,47,PL Other,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Vehicle Parts/Pieces,124,24201,PL Vehicle Parts/Pieces,242,OT Vehicle Parts,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Corflute Signs,74,4700,PL All Other Items,47,PL Other,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Blasting Items,112,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Outdoor Furniture,34,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Childcare Items,29,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Fibreglass Fragments,31,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Outdoor Equipment,33,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Medical Waste,116,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Municipal Items,117,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Marine Safety Items,115,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Farming Items,122,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Research/Oceanic Items,125,,,,,Plastics,Miscellaneous Plastic ,,Non,,Illegal Dumping (o/s targets),,,
,,,,PL Shotgun Shells,126,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Tags,129,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,NEW @ S?,PL Other Items,284,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,FP Buoys & Floats,131,21301,FP Fishing,213,FP Other Items,Polystyrene,Fishing,,Non,,Non Plastic Refined,,,
,,,,FP Drift Net Floats,133,,,,,Polystyrene,Fishing,,Non,,Non Plastic Refined,,,
,,,,FP Cups & Food Packaging,132,21001,FP Cups & Food Packaging,A210 ,Cups foam ,Polystyrene,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Ban 2
,,,,,,,,A211,Food packaging and clamshells ,Polystyrene,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Ban 2
,,,,FP Insulation & Packaging,134,212,FP Insulation & Packaging,,,Polystyrene,Miscellaneous Poly,,Non,,Non Plastic Refined,,,Future Partial (foam packaging - loose and moulded)
,,,,FP Pieces Size 1,137,0,FP Pieces (ITEMS SMALLER THAN IN ALM SURVEY),,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Pieces Size 2,138,,,,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Pieces Size 3,139,214,FP Pieces (Small),,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Pieces Size 4,140,,,,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Pieces Size 5,141,215,FP Pieces (Medium),,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Pieces Size 6,142,216,FP Pieces (Large),,,Polystyrene,Fragments,,Non,,Fragments,,,
,,,,FP Sponges,136,21300,FP All Other Items,213,FP Other Items,Polystyrene,Miscellaneous Poly,,Non,,Non Plastic Refined,,,
,,,,FP Weather Balloon Material,135,,,,,Polystyrene,Miscellaneous Poly,,Non,,Non Plastic Refined,,,
,,,NEW @ S?,FP Other Items,298,,,,,Polystyrene,Miscellaneous Poly,,Non,,Non Plastic Refined,,,
,,,NEW @ S?,OT Cutlery,274,227,OT Cutlery,,,Other,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,NEW @ S?,OT Cotton Buds,290,226,OT Cotton Buds,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,Substitute
,,,NEW @ S?,OT Stirrers ,297,239,OT Stirrers ,,,Other,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,NEW @ S?,OT Reusable Vapes,301,24703,OT Reusable Vapes,247,OT Other,Other,"Smoking, vaping and packaging",Vape related,Non,,Non Plastic Refined,,,
,,,NEW @ S?,"OT Plates/Bowls (non-plastic, non-paper)",303,23602,"OT Plates/Bowls (non-plastic, non-paper)",236,OT Plates/Bowls (non-plastic),Other,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,CL Binding & String,183,OT Rope and String (count of pieces),310,23702,OT Rope and String (count of pieces),237,OT Rope & String,Other,Miscellaneous other material ,,Non,,Non Plastic Refined,,,
