PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,CL Rope Natural (# of pieces),252,,,,,,,Other,Miscellaneous other material ,,Non,,Non Plastic Refined,,,
,,,NEW @ S?,"OT Straws (non-plastic, non-paper)",320,24002,"OT Straws (non-plastic, non-paper)",240,OT Straw (non-plastic) ,Other,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,NEW @ S?,OT SU Vapes,321,24702,OT SU Vapes,247,OT Other,Other,"Smoking, vaping and packaging",Vape related,Non,,Non Plastic Refined,,,
,,,,OT Condoms,143,224,OT Condoms,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Nappies,146,234,OT Nappies,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Shoes,148,24701,OT Shoes,247,OT Other,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Batteries,149,223,OT Batteries,,,Other,Miscellaneous other material ,,Non,,Non Plastic Refined,,,
,,OT Building ,151,OT Building & Construction Items,15101,225,OT Building & Construction Items,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,GC Bricks/Cement,163,,,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,PL Carpet/Lino,114,,,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,H OT Food Scraps,153,,,,,Other,Takeaway,,Non,,Non Plastic Refined,,,
,,,,OT Food Scraps (not gum),15301,23201,OT Food Scraps,232,OT Food Scraps,Other,Takeaway,,Non,,Non Plastic Refined,,,
,,,,OT Chewing Gum,15302,23202,OT Chewing Gum,232,OT Food Scraps,Other,Takeaway,,Non,,Non Plastic Refined,,,
,,,,OT Personal Effects,155,235,OT Personal Effects,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,H OT Sanitary,147,,,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Reusable Face Masks,265,231,OT Reusable Face Masks,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Antibacterial Wipes,266,243,OT Antibacterial Wipes,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,,OT Other Sanitary Items,267,238,OT Other Sanitary Items,,,Other,"Personal effects, care and hygiene",,Non,,Non Plastic Refined,,,
,,,NEW @ S?,OT Dog poo,335,228,OT Dog poo,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,OT Oil Globules,145,24700,OT All Other Items,247,OT Other,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,OT Boat Wreckage,150,,,,,Other,Miscellaneous other material,,Non,,Illegal Dumping (o/s targets),,,
,,,,OT Contents,152,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,OT Organic Material,154,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,OT Pet Items,156,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,OT Wax/Candles,157,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,NEW @ S?,OT Other Items,299,,,,,Other,Miscellaneous other material,,Non,,Non Plastic Refined,,,
,,,,GC Jars,159,117,GC Jars,,,Glass,Miscellaneous Glass,,Non,,Non Plastic Refined,,,
,,,,GC Alcohol Mixer Bottles (all sizes),164,129,GC Alcoholic Mixer Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,130,GC Alcoholic Mixer Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,131,GC Alcoholic Mixer Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,132,GC Alcoholic Mixer Bottles (1000- 3000ml),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,133,GC Alcoholic Mixer Bottles (>3000mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Beer Bottles (<750ml),165,134,GC Beer Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,135,GC Beer Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Beer Bottles (750ml+),166,136,GC Beer Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,137,GC Beer Bottles (1000- 3000ml),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,138,GC Beer Bottles (>3000mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Cider/Fruit Based Beverage Bottles (all sizes),167,139,GC Cider/Fruit Based Beverage Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,140,GC Cider/Fruit Based Beverage Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,141,GC Cider/Fruit Based Beverage Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,142,GC Cider/Fruit Based Beverage Bottles (1000- 3000ml),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,143,GC Cider/Fruit Based Beverage Bottles (>3000mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC FW/FJD/SpD Non-carb. Beverage Bottles (<1L),168,14401,GC FW/FJD/SpD Non-carb. Beverage Bottles (<150mL),144,GC FW/FJD/SD Beverage (<150mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14501,GC FW/FJD/SpD Non-carb. Beverage Bottles (150-499mL),145,GC FW/FJD/SD Beverage (150-499mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14601,GC FW/FJD/SpD Non-carb. Beverage Bottles (500-999mL),146,GC FW/FJD/SD Beverage (500-999mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC FW/FJD/SpD Non-carb. Beverage Bottles (1L+),169,14701,GC FW/FJD/SpD Non-carb. Beverage Bottles (1000- 3000ml),147,GC FW/FJD/SD Beverage (1000- 3000ml) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14801,GC FW/FJD/SpD Non-carb. Beverage Bottles (>3000mL),148,GC FW/FJD/SD Beverage (>3000mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC FW/FJD/SftD Carb. Beverage Bottles (<1L),170,14402,GC FW/SftD Carb. Beverage Bottles (<150mL),144,GC FW/FJD/SD Beverage (<150mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14502,GC FW/SftD Carb. Beverage Bottles (150-499mL),145,GC FW/FJD/SD Beverage (150-499mL) ,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14602,GC FW/SftD Carb. Beverage Bottles (500-999mL),146,GC FW/FJD/SD Beverage (500-999mL),Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC FW/SftD Carb. Beverage Bottles (1L+),171,14702,GC FW/SftD Carb. Beverage Bottles (1000- 3000ml),147,GC FW/FJD/SD Beverage (1000- 3000ml),Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,14802,GC FW/SftD Carb. Beverage Bottles (>3000mL),148,GC FW/FJD/SD Beverage (>3000mL),Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Fruit Juice Bottles (<1L),172,149,GC Fruit Juice Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,150,GC Fruit Juice Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,151,GC Fruit Juice Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Fruit Juice Bottles (1L+),173,152,GC Fruit Juice Bottles (1000- 3000ml),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,153,GC Fruit Juice Bottles (>3000mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,GC Water Bottles (<1L),174,154,GC Water Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,155,GC Water Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,156,GC Water Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Water Bottles (+1L),175,157,GC Water Bottles (1000- 3000ml),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,158,GC Water Bottles (>3000mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,GC Wine Cooler Bottles (all sizes),176,159,GC Wine Cooler Bottles (<150mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,160,GC Wine Cooler Bottles (150-499mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,161,GC Wine Cooler Bottles (500-999mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,162,GC Wine Cooler Bottles (1000- 3000ml),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,163,GC Wine Cooler Bottles (>3000mL),,,Glass,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,H GC Spirit & Wine Bottles,161,,,,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,GC Wine Bottles (all sizes),306,119,GC Wine Bottles (<150mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,120,GC Wine Bottles (150-499mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,121,GC Wine Bottles (500-999mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,122,GC Wine Bottles (1000- 3000ml),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,123,GC Wine Bottles (>3000mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,GC Spirit Bottles (all sizes),307,124,GC Spirit Bottles (<150mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,125,GC Spirit Bottles (150-499mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,126,GC Spirit Bottles (500-999mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,127,GC Spirit Bottles (1000- 3000ml),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,128,GC Spirit Bottles (>3000mL),,,Glass,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,GC Pieces Size 1,177,0,GC Pieces (ITEMS SMALLER THAN IN ALM SURVEY),,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Pieces Size 2,178,,,,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Pieces Size 3,179,164,GC Pieces (Small),,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Pieces Size 4,180,,,,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Pieces Size 5,181,165,GC Pieces (Medium),,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Pieces Size 6,182,166,GC Pieces (Large),,,Glass,Fragments,,Non,,Fragments,,,
,,,,GC Light Tubes & Globes,160,11800,GC All Other Items,118,GC Other Items,Glass,Miscellaneous Glass,,Non,,Non Plastic Refined,,,
,,,,GC Glassware/Ceramic Items,162,,,,,Glass,Miscellaneous Glass,,Non,,Non Plastic Refined,,,
,,,,GC Broken Ceramics,158,,,,,Glass,Miscellaneous Glass,,Non,,Non Plastic Refined,,,
,,,,GC Other Items,305,,,,,Glass,Miscellaneous Glass,,Non,,Non Plastic Refined,,,
,,,,H CL Cloth & Clothing,184,,,,,Cloth,Miscellaneous Cloth ,,Non,,Non Plastic Refined,,,
,,,,CL Clothing Items,308,217,CL Clothing Items,,,Cloth,Miscellaneous Cloth ,,Non,,Non Plastic Refined,,,
,,,,CL Fragments (all sizes),309,219,CL Fragments (Small),,,Cloth,Fragments,,Non,,Fragments,,,
,,,,,,220,CL Fragments (Medium),,,Cloth,Fragments,,Non,,Fragments,,,
,,,,,,221,CL Fragments (Large),,,Cloth,Fragments,,Non,,Fragments,,,
,,,NEW @ S?,CL Other Items,311,,,,,Cloth,Miscellaneous Cloth,,Non,,Non Plastic Refined,,,
,,,,CL Canvas/Hessian Items,185,21800,CL All Other Items,218,CL Other Items,Cloth,Miscellaneous Cloth,,Non,,Non Plastic Refined,,,
,,,,"ME Lids, Ring-pulls, Bottle tops",197,87,"ME Lids, Ring-pulls, Bottle tops",,,Metal,Takeaway,,Beverage Lid,,Non Plastic Refined,Takeaway,,
,,,,ME Alcoholic Mixer Cans (all sizes),188,99,ME Alcoholic Mixer Cans (<150mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,100,ME Alcoholic Mixer Cans (150-499mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,101,ME Alcoholic Mixer Cans (500-999mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,102,ME Alcoholic Mixer Cans (1000- 3000ml),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,103,ME Alcoholic Mixer Cans (>3000mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,"ME Beer Cans (all types), all sizes",189,89,ME Beer Cans (<150mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,90,ME Beer Cans (150-499mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,91,ME Beer Cans (500-999mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,92,ME Beer Cans (1000- 3000ml),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,93,ME Beer Cans (>3000mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,ME Cider/Fruit Based Beverage Cans (all sizes),190,94,ME Cider/Fruit Based Beverage Cans (<150mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,95,ME Cider/Fruit Based Beverage Cans (150-499mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,96,ME Cider/Fruit Based Beverage Cans (500-999mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,97,ME Cider/Fruit Based Beverage Cans (1000- 3000ml),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,98,ME Cider/Fruit Based Beverage Cans (>3000mL),,,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,ME FW/SftD Carb. Beverage Bottles (all sizes),191,10401,ME FW/SftD Carb. Beverage Cans (<150mL),104,ME FW/SD Beverage (<150mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10501,ME FW/SftD Carb. Beverage Cans (150-499mL),105,ME FW/SD Beverage (150-499mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10601,ME FW/SftD Carb. Beverage Cans (500-999mL),106,ME FW/SD Beverage (500-999mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10701,ME FW/SftD Carb. Beverage Cans (1000- 3000ml),107,ME FW/SD Beverage (1000- 3000ml) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10801,ME FW/SftD Carb. Beverage Cans (>3000mL),108,ME FW/SD Beverage (>3000mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,ME FW/FJD/SpD Non-carb. Beverage Bottles (all sizes),192,10402,ME FW/FJD/SpD Non-carb. Beverage Cans (<150mL),104,ME FW/SD Beverage (<150mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10502,ME FW/FJD/SpD Non-carb. Beverage Cans (150-499mL),105,ME FW/SD Beverage (150-499mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10602,ME FW/FJD/SpD Non-carb. Beverage Cans (500-999mL),106,ME FW/SD Beverage (500-999mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10702,ME FW/FJD/SpD Non-carb. Beverage Cans (1000- 3000ml),107,ME FW/SD Beverage (1000- 3000ml) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,10802,ME FW/FJD/SpD Non-carb. Beverage Cans (>3000mL),108,ME FW/SD Beverage (>3000mL) ,Metal,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,ME Scrap Pieces (all sizes),198,114,ME Scrap Pieces (Small),,,Metal,Fragments,,Non,,Fragments,,,
,,,,,,115,ME Scrap Pieces (Medium),,,Metal,Fragments,,Non,,Fragments,,,
,,,,,,116,ME Scrap Pieces (Large),,,Metal,Fragments,,Non,,Fragments,,,
,,,,ME Aerosol Cans,187,84,ME Aerosol Cans,,,Metal,Miscellaneous Metal ,,Non,,Non Plastic Refined,,,
,,,,ME Foil Takeaway Items,193,86,ME Foil Takeaway Items,,,Metal,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,ME Aluminium Packaging/ Foil Other,194,85,ME Aluminium Packaging/ Foil Other,,,Metal,Miscellaneous Metal,,Non,,Non Plastic Refined,,,
,,,,ME Fishing Items,196,262,ME Fishing Items,,,Metal,Fishing,,Non,,Non Plastic Refined,,,
,,,,ME Vehicle Parts/Pieces,203,24202,ME Vehicle Parts/Pieces,242,OT Vehicle Parts,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Wire/Pipes,214,8801,ME All Other Items,88,ME Other,Metal,Miscellaneous Metal,,Non,,Non Plastic Refined,,,
,,,,ME Cans (<4L),199,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Industrial Cans (4L+),200,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME 44 Gallon Drums,201,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Bikes/Trolleys,202,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Gas Cans,204,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Gas Cylinders,205,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Marine Engines,206,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Buoys,207,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Drums,208,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Outdoor Items,209,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Tools,210,,,,,Metal,Miscellaneous Metal,,Non,,Non Plastic Refined,,,
,,,,ME Signs/Sheeting,211,,,,,Metal,Miscellaneous Metal,,Non,,Non Plastic Refined,,,
,,,,ME Small Machinery,212,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME White Goods,213,,,,,Metal,Miscellaneous Metal,,Non,,Illegal Dumping (o/s targets),,,
,,,,ME Other Items,312,,,,,Metal,Miscellaneous Metal,,Non,,Non Plastic Refined,,,
,,,,PC Straws,273,24001,PC Straws,240,OT Straw (non-plastic),Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,,PC Bread Bag Tags,279,256,PC Bread Bag Tags,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,Future Substitute
,,,,PC SU Vape Packaging,282,253,PC SU Vape Packaging,,,Paper,"Smoking, vaping and packaging",Vape related,Non,,Non Plastic Refined,,,
,,,,H PC Cigarette Packets,222,,,,,Paper,"Smoking, vaping and packaging",Cigarette related,Non,,Non Plastic Refined,,,
,,,,PC Cigarette Packets (with film),330,16701,PC Cigarette Packets (with film),167,PC Cigarette Packet,Paper,"Smoking, vaping and packaging",Cigarette related,Non,,Non Plastic Refined,,,
,,,,PC Cigarette Packets (no film),331,16702,PC Cigarette Packets (no film),167,PC Cigarette Packet,Paper,"Smoking, vaping and packaging",Cigarette related,Non,,Non Plastic Refined,,,
,,,,PC Plates & Bowls,295,26301,PC Plates & Bowls,236,OT Plates/Bowls (non-plastic),Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,,PC Coffee Cup Lids,314,264,PC Coffee Cup Lids,178,PC Other,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,,H PC Coffee Cups (all),259,,,,,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,PC Coffee Cups (no lid),332,16801,PC Coffee Cups (no lid),168,PC Coffee Cup,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,PC Coffee Cups (with PL lid),333,16802,PC Coffee Cups (with lid),168,PC Coffee Cup,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,PC Coffee Cups (with PC lid),334,,,,,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,PC Other Cups,260,169,PC Other Cups,,,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,
,,,,PC Takeaway Containers,261,177,PC Takeaway Containers,,,Paper,Takeaway,,Non,,Non Plastic Refined,Takeaway,,Substitute
,,,,PC Ice Cream / Snack Packaging,224,170,PC Ice Cream / Snack Packaging,,,Paper,Snacks/Confect.,,Non,,Non Plastic Refined,,Snacks/Confect.,
,,,,PC Flavoured Milk Cartons (<1L),215,179,PC Flavoured Milk Cartons (<150mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,180,PC Flavoured Milk Cartons (150-499mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,181,PC Flavoured Milk Cartons (500-999mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,PC Flavoured Milk Cartons (1L+),216,182,PC Flavoured Milk Cartons (1000- 3000ml),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,183,PC Flavoured Milk Cartons (>3000mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,PC Fruit Juice Cartons (<1L),217,184,PC Fruit Juice Cartons (<150mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,185,PC Fruit Juice Cartons (150-499mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,186,PC Fruit Juice Cartons (500-999mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,PC Fruit Juice Cartons (1L+),218,187,PC Fruit Juice Cartons (1000- 3000ml),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,188,PC Fruit Juice Cartons (>3000mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,PC FW/FJD/SpD Cartons (<1L),219,189, PC FW/FJD/SpD Cartons (<150mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,190, PC FW/FJD/SpD Cartons (150-499mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,,,191, PC FW/FJD/SpD Cartons (500-999mL),,,Paper,CDS beverage container ,,Beverage Container - CDS,,Non Plastic Refined,,,
,,,,PC FW/FJD/SpD Cartons (1L+),220,192, PC FW/FJD/SpD Cartons (1000- 3000ml),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,193, PC FW/FJD/SpD Cartons (>3000mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,PC White Milk Cartons (all sizes),221,194,PC White Milk Cartons (<150mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,195,PC White Milk Cartons (150-499mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,196,PC White Milk Cartons (500-999mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,197,PC White Milk Cartons (1000- 3000ml),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,,,198,PC White Milk Cartons (>3000mL),,,Paper,Non-CDS beverage container ,,Beverage Container - Non CDS,,Non Plastic Refined,,,
,,,,PC Fragments (all sizes),319,199,PC Fragments (Small),,,Paper,Fragments,,Non,,Fragments,,,
,,,,,,200,PC Fragments (Medium),,,Paper,Fragments,,Non,,Fragments,,,
,,,,,,201,PC Fragments (Large),,,Paper,Fragments,,Non,,Fragments,,,
,,,,PC Junk Mail/Free Circulars,225,171,PC Junk Mail/Free Circulars,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,PC Newspaper/Magazines,226,172,PC Newspaper/Magazines,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,PC Packaging & Boxes,227,173,PC Packaging & Boxes,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,PC Bags,228,174,PC Bags,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,PC Shopping Related (e.g. Lists),229,176,"PC Tickets & shopping (e.g. Bus, ATM, lists)",,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
,,,,"PC Tickets (e.g. Bus, ATM)",230,,,,,Paper,Miscellaneous Paper,,Non,,Non Plastic Refined,,,
